Target,Organ,N_Total,N_Classes,Minority_Count,Majority_Pct,Majority_Pct_Str,Viable,Reason,Class_Counts
Pathological stage,Colon,23,5,2,0.34782608695652173,34.8%,✗,Class 4.0 has only 2 biopsies (need ≥3),"{2.0: np.int64(8), 3.0: np.int64(5), 1.0: np.int64(4), 0.0: np.int64(4), 4.0: np.int64(2)}"
Pathological stage,Duodenum,50,5,4,0.42,42.0%,✓,OK,"{1.0: np.int64(21), 0.0: np.int64(10), 2.0: np.int64(10), 3.0: np.int64(5), 4.0: np.int64(4)}"
GI stage,Colon,23,5,1,0.43478260869565216,43.5%,✗,Class 1.0 has only 1 biopsies (need ≥3),"{3.0: np.int64(10), 2.0: np.int64(4), 4.0: np.int64(4), 0.0: np.int64(4), 1.0: np.int64(1)}"
GI stage,Duodenum,50,5,3,0.4,40.0%,✓,OK,"{2.0: np.int64(20), 0.0: np.int64(10), 1.0: np.int64(9), 3.0: np.int64(8), 4.0: np.int64(3)}"
liver stage,Colon,23,3,2,0.7391304347826086,73.9%,✗,Class 3.0 has only 2 biopsies (need ≥3),"{1.0: np.int64(17), 0.0: np.int64(4), 3.0: np.int64(2)}"
liver stage,Duodenum,50,5,1,0.72,72.0%,✗,Class 4.0 has only 1 biopsies (need ≥3),"{1.0: np.int64(36), 0.0: np.int64(10), 2.0: np.int64(2), 4.0: np.int64(1), 3.0: np.int64(1)}"
skin stage,Colon,23,4,2,0.5217391304347826,52.2%,✗,Class 2.0 has only 2 biopsies (need ≥3),"{1.0: np.int64(12), 4.0: np.int64(5), 0.0: np.int64(4), 2.0: np.int64(2)}"
skin stage,Duodenum,50,5,1,0.46,46.0%,✗,Class 4.0 has only 1 biopsies (need ≥3),"{1.0: np.int64(23), 0.0: np.int64(10), 3.0: np.int64(9), 2.0: np.int64(7), 4.0: np.int64(1)}"
Cortico Response,Colon,23,3,4,0.6086956521739131,60.9%,✓,OK,"{'Non-responder': np.int64(14), 'Control': np.int64(5), 'Responder': np.int64(4)}"
Cortico Response,Duodenum,50,3,9,0.5,50.0%,✓,OK,"{'Responder': np.int64(25), 'Control': np.int64(16), 'Non-responder': np.int64(9)}"
Grade GVHD,Colon,23,4,1,0.391304347826087,39.1%,✗,Class 1.0 has only 1 biopsies (need ≥3),"{3.0: np.int64(9), 4.0: np.int64(9), 0.0: np.int64(4), 1.0: np.int64(1)}"
Grade GVHD,Duodenum,50,5,1,0.46,46.0%,✗,Class 2.0 has only 1 biopsies (need ≥3),"{3.0: np.int64(23), 0.0: np.int64(10), 4.0: np.int64(8), 1.0: np.int64(8), 2.0: np.int64(1)}"
Survival at follow-up,Colon,23,3,4,0.6086956521739131,60.9%,✓,OK,"{'Not survived': np.int64(14), 'Survived': np.int64(5), 'Control': np.int64(4)}"
Survival at follow-up,Duodenum,50,3,10,0.48,48.0%,✓,OK,"{'Survived': np.int64(24), 'Not survived': np.int64(16), 'Control': np.int64(10)}"
Clinical score,Colon,23,3,4,0.6086956521739131,60.9%,✓,OK,"{'Severe': np.int64(14), 'Mild': np.int64(5), 'Control': np.int64(4)}"
Clinical score,Duodenum,50,3,10,0.58,58.0%,✓,OK,"{'Mild': np.int64(29), 'Severe': np.int64(11), 'Control': np.int64(10)}"
Pathological score,Colon,23,3,4,0.5217391304347826,52.2%,✓,OK,"{'Mild': np.int64(12), 'Severe': np.int64(7), 'Control': np.int64(4)}"
Pathological score,Duodenum,50,3,9,0.62,62.0%,✓,OK,"{'Mild': np.int64(31), 'Control': np.int64(10), 'Severe': np.int64(9)}"
